county,sitename,aqi,空氣品質
基隆市,基隆,25,良好
新北市,汐止,35,良好
新北市,萬里,27,良好
新北市,新店,34,良好
新北市,土城,32,良好
新北市,板橋,48,良好
新北市,新莊,47,良好
新北市,菜寮,33,良好
新北市,林口,43,良好
新北市,淡水,47,良好
臺北市,士林,28,良好
臺北市,中山,48,良好
臺北市,萬華,33,良好
臺北市,古亭,31,良好
臺北市,松山,37,良好
臺北市,大同,58,普通
桃園市,桃園,35,良好
桃園市,大園,42,良好
桃園市,觀音,29,良好
桃園市,平鎮,20,良好
桃園市,龍潭,27,良好
新竹縣,湖口,52,普通
新竹縣,竹東,19,良好
新竹市,新竹,23,良好
苗栗縣,頭份,27,良好
苗栗縣,苗栗,20,良好
苗栗縣,三義,19,良好
臺中市,豐原,22,良好
臺中市,沙鹿,23,良好
臺中市,大里,22,良好
臺中市,忠明,20,良好
臺中市,西屯,21,良好
彰化縣,彰化,22,良好
彰化縣,線西,20,良好
彰化縣,二林,49,良好
南投縣,南投,28,良好
雲林縣,斗六,27,良好
雲林縣,崙背,20,良好
嘉義縣,新港,24,良好
嘉義縣,朴子,19,良好
雲林縣,臺西,19,良好
嘉義市,嘉義,21,良好
臺南市,新營,16,良好
臺南市,善化,23,良好
臺南市,安南,14,良好
臺南市,臺南,18,良好
高雄市,美濃,18,良好
高雄市,橋頭,13,良好
高雄市,仁武,24,良好
高雄市,鳳山,15,良好
高雄市,大寮,16,良好
高雄市,林園,17,良好
高雄市,楠梓,22,良好
高雄市,左營,19,良好
高雄市,前金,12,良好
高雄市,前鎮,15,良好
高雄市,小港,14,良好
屏東縣,屏東,15,良好
屏東縣,潮州,13,良好
屏東縣,恆春,15,良好
臺東縣,臺東,10,良好
花蓮縣,花蓮,12,良好
臺北市,陽明,19,良好
宜蘭縣,宜蘭,22,良好
宜蘭縣,冬山,19,良好
新北市,三重,38,良好
桃園市,中壢,33,良好
南投縣,竹山,26,良好
新北市,永和,30,良好
高雄市,復興,15,良好
南投縣,埔里,28,良好
連江縣,馬祖,23,良好
金門縣,金門,15,良好
澎湖縣,馬公,15,良好
臺東縣,關山,16,良好
雲林縣,麥寮,18,良好
新北市,富貴角,24,良好
彰化縣,大城,19,良好
彰化縣,彰化（員林）,26,良好
高雄市,高雄（湖內）,16,良好
臺南市,臺南（麻豆）,15,良好
屏東縣,屏東（琉球）,22,良好
新北市,新北(樹林),31,良好
臺中市,大甲（日南國小）,18,良好
屏東縣,屏東(枋山),16,良好
